"405","Villereversure"
"406","Villes"
"407","Viriat"
"408","Virieu-le-Grand"
"409","Virieu-le-Petit"
"410","Virignin"
"411","Volognat"
"412","Vongnes"
"413","Vonnas"
"414","Vouvray"
"415","La Valbonne"
"416","Chânes"
"417","Marfoz"
"418","Le Mas Rillier"
"419","Abbécourt"
"420","Achery"
"421","Acy"
"422","Agnicourt-et-Séchelles"
"423","Aguilcourt"
"424","Aisonville-et-Bernoville"
"425","Aizelles"
"426","Alaincourt"
"427","Allemant"
"428","Ambleny"
"429","Ambrief"
"430","Amifontaine"
"431","Amigny-Rouy"
"432","Ancienville"
"433","Andelain"
"434","Anguilcourt-le-Sart"
"435","Anizy-le-Château"
"436","Annois"
"437","Any-Martin-Rieux"
"438","Archon"
"439","Arcy-Sainte-Restitue"
"440","Armentières-sur-Ourcq"
"441","Arrancy"
"442","Artemps"
"443","Artonges"
"444","Assis-sur-Serre"
"445","Athies-sous-Laon"
"446","Attilly"
"447","Aubencheul-aux-Bois"
"448","Aubenton"
"449","Aubigny-aux-Kaisnes"
"450","Aubigny-en-Laonnois"
"451","Audignicourt"
"452","Audigny"
"453","Augy"
"454","Aulnois-sous-Laon"
"455","Les Autels"
"456","Autremencourt"
"457","Autreppes"
"458","Autreville"
"459","Azy-sur-Marne"
"460","Bagneux"
"461","Bancigny"
"462","Barbonval"
"463","Barenton-Bugny"
"464","Barenton-Cel"
"465","Barenton-sur-Serre"
"466","Barzy-en-Thiérache"
"467","Barzy-sur-Marne"
"468","Bassoles-Aulers"
"469","Baulne-en-Brie"
"470","Beaumé"
"471","Beaumont-en-Beine"
"472","Beaurevoir"
"473","Beaurieux"
"474","Beautor"
"475","Beauvois-en-Vermandois"
"476","Belleau"
"477","Bellenglise"
"478","Belleu"
"479","Bellicourt"
"480","Benay"
"481","Bergues-sur-Sambre"
"482","Berlise"
"483","Bernot"
"484","Berny-Rivière"
"485","Berrieux"
"486","Berry-au-Bac"
"487","Bertaucourt-Épourdon"
"488","Berthenicourt"
"489","Bertricourt"
"490","Berzy-le-Sec"
"491","Besmé"
"492","Besmont"
"493","Besny-et-Loizy"
"494","Béthancourt-en-Vaux"
"495","Beugneux"
"496","Beuvardes"
"497","Bézu-le-Guéry"
"498","Bézu-Saint-Germain"
"499","Bichancourt"
"500","Bieuxy"
"501","Bièvres"
"502","Billy-sur-Aisne"
"503","Billy-sur-Ourcq"
"504","Blanzy-lès-Fismes"
"505","Blérancourt"
"506","Blesmes"
"507","Bohain-en-Vermandois"
"508","Bois-lès-Pargny"
"509","Boncourt"
